question,a,b,c,d,correct_option
An apple is a?,fruit,machine,toy,vegetable,a
The sky is?,blue,red,green,yellow,a
Cars run on?,petrol,food,water,air,b
The sun rises in?,east,west,north,south,a
Humans have?,two legs,four legs,no legs,wings,a
The capital of France is?,Paris,London,Berlin,Madrid,a
The largest planet is?,Saturn,Jupiter,Uranus,Neptune,b
The smallest planet is?,Mars,Venus,Mercury,Earth,c
The human nose has?,one hole,two holes,no holes,three holes,b
The largest living thing is?,blue whale,Great Barrier Reef,African elephant,giraffe,b
The deepest ocean is?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,a
The highest mountain is?,Mount Everest,Mount Kilimanjaro,Mount Elbrus,Mount Denali,a
The human heart beats?,1000 times per minute,500 times per minute,100 times per minute,5000 times per minute,c
The largest mammal is?,blue whale,African elephant,giraffe,hippopotamus,a
The fastest land animal is?,cheetah,lion,elephant,giraffe,a
The human brain has?,100 billion neurons,50 billion neurons,200 billion neurons,500 billion neurons,c
The longest river is?,Nile River,Amazon River,Yangtze River,Mississippi River,a
The largest bird is?,ostrich,eagle,vulture,flamingo,a
The human eye has?,one blind spot,two blind spots,no blind spots,three blind spots,c
The smallest bone is?,femur,tibia, fibula,stag beetle,a